Title,Genre,Runtime,Year,Director,IMDB Rating,IMDB Votes,Rotten Tomatoes,Actors,IMDB ID,Type,Rated,Released,Writer,Country,Awards,Plot,Watched,I Want to Watch
M,"Crime, Mystery, Thriller",99 min,1931,Fritz Lang,8.3,"163,527",100%,"Peter Lorre, Ellen Widmann, Inge Landgut",tt0022100,movie,Passed,31-Aug-31,"Thea von Harbou, Fritz Lang, Egon Jacobsohn",Germany,2 wins,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",no,yes,
North by Northwest,"Action, Adventure, Mystery",136 min,1959,Alfred Hitchcock,8.3,"337,288",97%,"Cary Grant, Eva Marie Saint, James Mason",tt0053125,movie,Approved,18-Dec-59,Ernest Lehman,United States,Nominated for 3 Oscars. 9 wins & 7 nominations total,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.",no,yes,
The Apartment,"Comedy, Drama, Romance",125 min,1960,Billy Wilder,8.3,"188,737",93%,"Jack Lemmon, Shirley MacLaine, Fred MacMurray",tt0053604,movie,Approved,29-Jun-60,"Billy Wilder, I.A.L. Diamond",United States,Won 5 Oscars. 24 wins & 8 nominations total,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",no,yes,
Vertigo,"Mystery, Romance, Thriller",128 min,1958,Alfred Hitchcock,8.3,"413,616",92%,"James Stewart, Kim Novak, Barbara Bel Geddes",tt0052357,movie,PG,9-May-63,"Alec Coppel, Samuel A. Taylor, Pierre Boileau",United States,Nominated for 2 Oscars. 9 wins & 7 nominations total,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.",no,yes,
Amélie,"Comedy, Romance",122 min,2001,Jean-Pierre Jeunet,8.3,"774,784",89%,"Audrey Tautou, Mathieu Kassovitz, Rufus",tt0211915,movie,R,8-Feb-02,"Guillaume Laurant, Jean-Pierre Jeunet","France, Germany",Nominated for 5 Oscars. 59 wins & 74 nominations total,"Despite being caught in her imaginative world, Amelie, a young waitress, decides to help people find happiness. Her quest to spread joy leads her on a journey where she finds true love.",no,yes,
Scarface,"Crime, Drama",170 min,1983,Brian De Palma,8.3,"876,188",79%,"Al Pacino, Michelle Pfeiffer, Steven Bauer",tt0086250,movie,R,9-Dec-83,"Oliver Stone, Howard Hawks, Ben Hecht",United States,8 nominations,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.",no,yes,
Full Metal Jacket,"Drama, War",116 min,1987,Stanley Kubrick,8.3,"765,873",91%,"Matthew Modine, R. Lee Ermey, Vincent D'Onofrio",tt0093058,movie,R,10-Jul-87,"Stanley Kubrick, Michael Herr, Gustav Hasford","United Kingdom, United States",Nominated for 1 Oscar. 8 wins & 14 nominations total,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,no,yes,
Incendies,"Drama, Mystery, War",131 min,2010,Denis Villeneuve,8.3,"187,744",91%,"Lubna Azabal, Mélissa Désormeaux-Poulin, Maxim Gaudette",tt1255953,movie,R,12-Jan-11,"Denis Villeneuve, Wajdi Mouawad, Valérie Beaugrand-Champagne","Canada, France",Nominated for 1 Oscar. 41 wins & 19 nominations total,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,no,yes,
Hamilton,"Biography, Drama, History",160 min,2020,Thomas Kail,8.3,"104,364",98%,"Lin-Manuel Miranda, Phillipa Soo, Leslie Odom Jr.",tt8503618,movie,PG-13,3-Jul-20,"Lin-Manuel Miranda, Ron Chernow",United States,Won 2 Primetime Emmys. 19 wins & 46 nominations total,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",no,yes,
Heat,"Action, Crime, Drama",170 min,1995,Michael Mann,8.3,"686,422",88%,"Al Pacino, Robert De Niro, Val Kilmer",tt0113277,movie,R,15-Dec-95,Michael Mann,United States,14 nominations,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.,no,yes,
To Kill a Mockingbird,"Crime, Drama",129 min,1962,Robert Mulligan,8.3,"324,290",93%,"Gregory Peck, John Megna, Frank Overton",tt0056592,movie,Approved,16-Mar-63,"Harper Lee, Horton Foote",United States,Won 3 Oscars. 14 wins & 16 nominations total,"Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a Black man against an undeserved rape charge, and tries to educate his young children against prejudice.",no,yes,
The Sting,"Comedy, Crime, Drama",129 min,1973,George Roy Hill,8.3,"271,257",93%,"Paul Newman, Robert Redford, Robert Shaw",tt0070735,movie,PG,25-Dec-73,David S. Ward,United States,Won 7 Oscars. 18 wins & 6 nominations total,Two grifters team up to pull off the ultimate con.,no,yes,
Metropolis,"Drama, Sci-Fi",153 min,1927,Fritz Lang,8.3,"179,571",97%,"Brigitte Helm, Alfred Abel, Gustav Fröhlich",tt0017136,movie,Not Rated,13-Mar-27,"Thea von Harbou, Fritz Lang",Germany,6 wins & 6 nominations,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.",no,yes,
Die Hard,"Action, Thriller",132 min,1988,John McTiernan,8.2,"908,456",94%,"Bruce Willis, Alan Rickman, Bonnie Bedelia",tt0095016,movie,R,20-Jul-88,"Roderick Thorp, Jeb Stuart, Steven E. de Souza",United States,Nominated for 4 Oscars. 8 wins & 6 nominations total,A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,no,yes,
L.A. Confidential,"Crime, Drama, Mystery",138 min,1997,Curtis Hanson,8.2,"598,980",99%,"Kevin Spacey, Russell Crowe, Guy Pearce",tt0119488,movie,R,19-Sep-97,"James Ellroy, Brian Helgeland, Curtis Hanson",United States,Won 2 Oscars. 91 wins & 86 nominations total,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",no,yes,
Bicycle Thieves,Drama,89 min,1948,Vittorio De Sica,8.3,"169,475",99%,"Lamberto Maggiorani, Enzo Staiola, Lianella Carell",tt0040522,movie,Not Rated,13-Dec-49,"Cesare Zavattini, Luigi Bartolini, Oreste Biancoli",Italy,Nominated for 1 Oscar. 18 wins & 1 nomination total,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.",no,yes,
Snatch,"Comedy, Crime",102 min,2000,Guy Ritchie,8.2,"881,490",74%,"Jason Statham, Brad Pitt, Stephen Graham",tt0208092,movie,R,19-Jan-01,Guy Ritchie,"United Kingdom, United States",4 wins & 7 nominations,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",no,yes,
Like Stars on Earth,"Drama, Family",165 min,2007,"Aamir Khan, Amole Gupte",8.3,"200,036",92%,"Darsheel Safary, Aamir Khan, Tanay Chheda",tt0986264,movie,PG,21-Dec-07,Amole Gupte,India,28 wins & 22 nominations,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.",no,yes,
Taxi Driver,"Crime, Drama",114 min,1976,Martin Scorsese,8.2,"876,441",96%,"Robert De Niro, Jodie Foster, Cybill Shepherd",tt0075314,movie,R,9-Feb-76,Paul Schrader,United States,Nominated for 4 Oscars. 22 wins & 21 nominations total,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.",no,yes,
Downfall,"Biography, Drama, History",156 min,2004,Oliver Hirschbiegel,8.2,"365,273",90%,"Bruno Ganz, Alexandra Maria Lara, Ulrich Matthes",tt0363163,movie,R,8-Apr-05,"Bernd Eichinger, Joachim Fest, Traudl Junge","Germany, Austria, Italy",Nominated for 1 Oscar. 22 wins & 34 nominations total,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.",no,yes,
Dangal,"Action, Biography, Drama",161 min,2016,Nitesh Tiwari,8.3,"200,009",88%,"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh",tt5074352,movie,Not Rated,21-Dec-16,"Piyush Gupta, Shreyas Jain, Nikhil Mehrotra","India, United States",40 wins & 36 nominations,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,no,yes,
Some Like It Hot,"Comedy, Music, Romance",121 min,1959,Billy Wilder,8.2,"275,436",94%,"Marilyn Monroe, Tony Curtis, Jack Lemmon",tt0053291,movie,Passed,19-Mar-59,"Billy Wilder, I.A.L. Diamond, Robert Thoeren",United States,Won 1 Oscar. 11 wins & 13 nominations total,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",no,yes,
Green Book,"Biography, Comedy, Drama",130 min,2018,Peter Farrelly,8.2,"529,078",77%,"Viggo Mortensen, Mahershala Ali, Linda Cardellini",tt6966692,movie,PG-13,16-Nov-18,"Nick Vallelonga, Brian Hayes Currie, Peter Farrelly","United States, China",Won 3 Oscars. 58 wins & 123 nominations total,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,no,yes,
